date	mktret	bondret
19631231	0.021736	-0.01113
19640131	0.02579	0.0037365
19640228	0.017207	0.001669
19640331	0.017636	-0.00876
19640430	0.004608	0.007892
19640528	0.017403	0.013689
19640630	0.01508	0.0136925
19640731	0.020118	0.001221
19640831	-0.011266	0.000862
19640930	0.03048	0.0014365
19641030	0.008869	0.0072075
19641130	0.003089	0.0005475
19641231	0.00369	-0.000184
19650129	0.038646	0.0060685
19650226	0.006946	0.0009555
19650331	-0.009715	0.006561
19650430	0.033652	0.0050295
19650528	-0.00435	0.002737
19650630	-0.051868	0.0053505
19650730	0.016759	0.000438
19650831	0.030883	-0.0100145
19650930	0.031952	-0.0169945
19651029	0.029271	0.005891
19651130	0.003065	0.0043385
19651231	0.013545	-0.0078775
19660131	0.012122	0.0016645
19660228	-0.008621	-0.030765
19660331	-0.020923	0.0247235
19660429	0.024837	0.0009475
19660531	-0.052539	0.002948
19660630	-0.010317	-0.0127505
19660729	-0.01287	0.0041845
19660831	-0.075388	-0.0068455
19660930	-0.006958	0.019797
19661031	0.042294	0.0233035
19661130	0.017516	-0.01552
19661230	0.00621	0.034704
19670131	0.08553	0.027121
19670228	0.010945	-0.027648
19670331	0.043384	0.015975
19670428	0.041609	-0.0264585
19670531	-0.039293	-0.002902
19670630	0.026903	-0.023957
19670731	0.049189	0.0194345
19670831	-0.006282	-0.0051035
19670929	0.034286	-0.005048
19671031	-0.027433	-0.0401795
19671130	0.007902	0.0028675
19671229	0.033699	0.0096705
19680131	-0.03633	0.0389405
19680229	-0.033624	-0.0054415
19680329	0.005116	-0.030245
19680430	0.094148	0.0136955
19680531	0.027041	0.0046045
19680628	0.011527	0.025957
19680830	0.018038	-0.00071
19680930	0.044454	-0.012644
19681031	0.009041	-0.0147745
19681129	0.058502	-0.0212055
19681231	-0.033873	-0.0277095
19690131	-0.006711	-0.015902
19690228	-0.05364	-0.002746
19690328	0.030506	-0.0202685
19690430	0.020526	0.0461015
19690529	0.00504	-0.0388855
19690630	-0.067387	0.029609
19690731	-0.065172	0.012021
19690829	0.05149	-0.004852
19690930	-0.02259	-0.062019
19691031	0.055638	0.0526615
19691128	-0.032164	-0.0362245
19691231	-0.019681	-0.019106
19700130	-0.073254	0.0053415
19700227	0.056706	0.0761525
19700331	-0.004729	-0.0098575
19700430	-0.105318	-0.042217
19700529	-0.064346	-0.041897
19700630	-0.051075	0.063123
19700731	0.074169	0.032075
19700831	0.050036	-0.019293
19700930	0.047536	0.0309945
19701030	-0.018208	-0.0022135
19701130	0.050448	0.0589785
19701231	0.060723	-0.0237415
19710129	0.05203	0.0610025
19710226	0.016913	-0.0172945
19710331	0.044778	0.040112
19710430	0.033332	-0.0055935
19710528	-0.036409	0.004627
19710630	0.003119	-0.0011015
19710730	-0.040283	0.005305
19710831	0.042511	0.0479875
19710930	-0.005016	0.020456
19711029	-0.040682	0.019929
19711130	-0.001262	-0.0034855
19711231	0.091257	-0.0052025
19720131	0.028383	-0.008017
19720229	0.031349	0.0133185
19720330	0.008722	-0.004932
19720428	0.005505	0.007322
19720531	0.016375	0.0224605
19720630	-0.020896	-0.007664
19720731	-0.004254	0.021733
19720831	0.035966	0.006901
19720929	-0.007671	-0.004207
19721031	0.008676	0.0117285
19721130	0.049764	0.0137095
19721229	0.011243	-0.023003
19730131	-0.027453	-0.044366
19730228	-0.044368	0.000838
19730330	-0.00786	0.006869
19730430	-0.051766	0.003262
19730531	-0.024511	-0.008574
19730629	-0.008646	-0.002116
19730731	0.056956	-0.041822
19730831	-0.029657	0.032932
19730928	0.053935	0.039914
19731031	-0.000414	-0.015498
19731130	-0.120708	0.014764
19731231	0.011438	-0.006956
19740131	0.004413	-0.0032945
19740228	0.002346	-0.003141
19740329	-0.023364	-0.0291055
19740430	-0.04596	-0.020149
19740531	-0.041981	0.0176385
19740628	-0.022942	0.003849
19740731	-0.070874	-0.0076905
19740830	-0.087757	-0.0263795
19740930	-0.109718	0.0208515
19741031	0.165584	0.0446
19741129	-0.041046	0.0182125
19741231	-0.027005	0.0073435
19750131	0.1416	0.0224215
19750228	0.058412	0.007358
19750331	0.03019	-0.0319185
19750430	0.046497	-0.0206125
19750530	0.05514	0.0318895
19750630	0.051473	0.0264575
19750731	-0.060385	-0.0034125
19750829	-0.023557	-0.0115015
19750930	-0.03801	-0.017205
19751031	0.055857	0.04811
19751128	0.031223	-0.0073435
19751231	-0.010998	0.0356915
19760130	0.126011	0.014973
19760227	0.007313	0.0064715
19760331	0.026799	0.0177435
19760430	-0.010388	0.0004005
19760528	-0.009369	-0.0170005
19760630	0.044487	0.02059
19760730	-0.006159	0.007713
19760831	-0.001436	0.0163085
19760930	0.024484	0.018861
19761029	-0.020374	0.0112435
19761130	0.005363	0.033471
19761231	0.06159	0.036559
19770131	-0.036335	-0.0310395
19770228	-0.015762	0.0027125
19770331	-0.009247	0.0124855
19770429	0.004954	0.006157
19770531	-0.010787	0.006433
19770630	0.051364	0.0180805
19770729	-0.012806	-0.0114
19770831	-0.013343	0.0199315
19770930	0.001575	-0.006834
19771031	-0.039282	-0.008555
19771130	0.045435	0.0073065
19771230	0.008221	-0.011845
19780131	-0.055198	-0.0071795
19780228	-0.009275	-0.0012285
19780331	0.03401	-0.0048175
19780428	0.082853	-0.0020485
19780531	0.02323	-0.0169855
19780630	-0.010748	-0.003945
19780731	0.056741	0.0142965
19780831	0.042349	0.032154
19780929	-0.006887	-0.0074625
19781031	-0.110999	-0.024364
19781130	0.033785	0.0165195
19781229	0.017708	-0.010872
19790131	0.049489	0.0188825
19790228	-0.026766	-0.0152365
19790330	0.065616	0.012037
19790430	0.008523	-0.01015
19790531	-0.013577	0.0220365
19790629	0.046851	0.0340715
